tube_assembly_id,comp_weight
TA-00001,0.096
TA-00002,0.018
TA-00003,0.018
TA-00004,0.018
TA-00005,0.21
TA-00006,0.21
TA-00007,0.096
TA-00008,0.018
TA-00009,0.324
TA-00010,1.566
TA-00011,0.018
TA-00012,0.018
TA-00013,0.215
TA-00014,0.096
TA-00015,0.076
TA-00016,1.086
TA-00017,1.087
TA-00018,0.09
TA-00019,0
TA-00020,0.052
TA-00021,0.052
TA-00022,0.018
TA-00023,0.028
TA-00024,0.028
TA-00025,0.028
TA-00026,0.09
TA-00027,0.028
TA-00028,0.032
TA-00029,0.055
TA-00030,0.042
TA-00031,0.042
TA-00032,0.016
TA-00033,0.028
TA-00034,
TA-00035,0.274
TA-00036,0.042
TA-00037,0.024
TA-00038,0.124
TA-00039,0.042
TA-00040,0.069
TA-00041,0.274
TA-00042,0.11
TA-00043,1.522
TA-00044,0
TA-00045,1.232
TA-00046,0.058
TA-00047,0.076
TA-00048,0.262
TA-00049,0.131
TA-00050,0.048
TA-00051,2.23
TA-00052,0.491
TA-00053,0.042
TA-00054,0.042
TA-00055,0.112
TA-00056,0.112
TA-00057,0.387
TA-00058,0.018
TA-00059,15.097
TA-00060,0.018
TA-00061,0.018
TA-00062,0.042
TA-00063,0.042
TA-00064,0
TA-00065,0.56
TA-00066,0.214
TA-00067,0.035
TA-00068,0.09
TA-00069,0.07
TA-00070,0
TA-00071,0.014
TA-00072,0.782
TA-00073,0.033
TA-00074,0
TA-00075,0.018
TA-00076,0.018
TA-00077,0.018
TA-00078,0.018
TA-00079,0.018
TA-00080,0.018
TA-00081,0.018
TA-00082,0.018
TA-00083,0.018
TA-00084,0.018
TA-00085,0.018
TA-00086,0.018
TA-00087,0.018
TA-00088,0.018
TA-00089,0.018
TA-00090,0.018
TA-00091,0.018
TA-00092,0.018
TA-00093,0.018
TA-00094,0.018
TA-00095,0.018
TA-00096,0.018
TA-00097,0.042
TA-00098,0.616
TA-00099,0.221
TA-00100,0.042
TA-00101,0
TA-00102,0.028
TA-00103,1.37
TA-00104,0.096
TA-00105,0.079
TA-00106,0
TA-00107,
TA-00108,1.978
TA-00109,1.978
TA-00110,0.169
TA-00111,2.514
TA-00112,0.036
TA-00113,0.042
TA-00114,0.028
TA-00115,0.028
TA-00116,0.028
TA-00117,0.11
TA-00118,0.096
TA-00119,0.042
TA-00120,0.042
TA-00121,0.042
TA-00122,0.042
TA-00123,0.21
TA-00124,0.009
TA-00125,0.387
TA-00126,0.122
TA-00127,0.042
TA-00128,0.08
TA-00129,0.042
TA-00130,0.042
TA-00131,0.324
TA-00132,0.21
TA-00133,0.21
TA-00134,0.21
TA-00135,0.014
TA-00136,0.042
TA-00137,0
TA-00138,0.067
TA-00139,0
TA-00140,0
TA-00141,0.15
TA-00142,0.09
TA-00143,2.87
TA-00144,2.119
TA-00145,0.018
TA-00146,0.018
TA-00147,0.018
TA-00148,0.018
TA-00149,0.018
TA-00150,0.018
TA-00151,0.291
TA-00152,0.09
TA-00153,0.042
TA-00154,0.314
TA-00155,0.314
TA-00156,0.028
TA-00157,0.46
TA-00158,0.1
TA-00159,0.387
TA-00160,0.1
TA-00161,0.042
TA-00162,0.064
TA-00163,0.048
TA-00164,0.024
TA-00165,0.07
TA-00166,0.197
TA-00167,0.262
TA-00168,
TA-00169,0.028
TA-00170,0.2
TA-00171,0.403
TA-00172,0.403
TA-00173,0.114
TA-00174,0.382
TA-00175,0.238
TA-00176,0.238
TA-00177,0.018
TA-00178,0.27
TA-00179,0.042
TA-00180,0.06
TA-00181,0.187
TA-00182,0.063
TA-00183,
TA-00184,0.166
TA-00185,0.166
TA-00186,0.028
TA-00187,0.042
TA-00188,0.018
TA-00189,0.018
TA-00190,0.018
TA-00191,0.018
TA-00192,0.018
TA-00193,0.163
TA-00194,0.1
TA-00195,0.1
TA-00196,0.1
TA-00197,0.1
TA-00198,0.782
TA-00199,0.028
TA-00200,0.076
TA-00201,0.262
TA-00202,0.262
TA-00203,0.061
TA-00204,0.289
TA-00205,0.334
TA-00206,0.11
TA-00207,0.11
TA-00208,0.11
TA-00209,0.076
TA-00210,0.11
TA-00211,0.11
TA-00212,0.11
TA-00213,0.11
TA-00214,0.11
TA-00215,0.076
TA-00216,0.11
