tube_assembly_id,material_id,diameter,wall,length,num_bends,bend_radius,end_a_1x,end_a_2x,end_x_1x,end_x_2x,end_a,end_x,num_boss,num_bracket,other,forming_a,forming_x
TA-00001,SP-0035,12.7,1.65,164.0,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00002,SP-0019,6.35,0.71,137.0,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00003,SP-0019,6.35,0.71,127.0,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00004,SP-0019,6.35,0.71,137.0,9,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00005,SP-0029,19.05,1.24,109.0,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00006,SP-0029,19.05,1.24,79.0,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00007,SP-0035,12.7,1.65,202.0,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00008,SP-0039,6.35,0.71,174.0,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00009,SP-0029,25.4,1.65,135.0,4,63.5,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00010,SP-0046,42.7,4.8,290.0,4,110.0,N,N,N,N,EF-021,EF-021,0,0,0,No,No
TA-00011,SP-0039,6.35,0.71,197.0,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00012,SP-0039,6.35,0.71,207.0,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00013,SP-0028,38.1,1.65,106.0,3,76.2,N,N,N,N,NONE,NONE,1,0,0,No,No
TA-00014,SP-0029,12.7,0.89,96.0,4,38.1,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00015,SP-0035,12.7,0.89,147.0,6,25.4,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00016,SP-0029,25.4,1.65,99.0,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00017,SP-0029,25.4,1.65,92.0,3,50.8,N,Y,N,N,EF-003,EF-003,0,0,0,No,No
TA-00018,SP-0028,25.4,1.65,81.0,3,63.5,N,N,N,N,EF-003,EF-009,0,0,0,No,Yes
TA-00019,SP-0028,50.8,2.11,84.0,2,127.0,N,Y,N,N,EF-005,EF-017,0,0,0,Yes,Yes
TA-00020,SP-0041,6.35,2.375,81.0,9,19.05,N,N,N,N,NONE,NONE,0,0,0,No,No
TA-00021,SP-0041,6.35,2.375,81.0,6,19.05,N,N,N,N,NONE,NONE,0,0,0,No,No
TA-00022,SP-0039,12.7,0.89,101.0,6,25.4,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00023,SP-0039,9.52,0.71,52.0,3,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00024,SP-0039,9.52,0.71,99.0,2,31.75,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00025,SP-0039,9.52,0.71,65.0,3,31.75,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00026,SP-0028,25.4,1.65,48.0,2,50.8,N,N,Y,Y,EF-009,EF-003,0,0,0,Yes,No
TA-00027,SP-0035,6.35,0.89,105.0,5,19.05,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00028,SP-0028,12.7,1.65,104.0,3,127.0,N,N,N,N,EF-003,NONE,1,0,0,No,No
TA-00029,SP-0035,15.88,1.24,94.0,2,50.8,N,N,N,N,EF-018,EF-017,0,0,0,Yes,Yes
TA-00030,SP-0028,9.52,0.89,85.0,4,19.05,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00031,SP-0028,9.52,0.89,52.0,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00032,SP-0028,12.7,0.89,55.0,2,76.2,N,N,N,N,NONE,NONE,0,0,0,No,No
TA-00033,SP-0039,9.52,0.71,89.0,4,31.75,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00034,SP-0028,25.4,1.65,55.0,2,50.8,N,N,N,N,EF-003,EF-009,0,0,0,No,Yes
TA-00035,SP-0035,15.88,1.24,101.0,7,38.1,N,N,N,N,EF-018,EF-003,0,0,0,Yes,No
TA-00036,SP-0029,9.52,0.89,74.0,5,31.75,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00037,SP-0029,9.52,0.71,29.0,4,19.05,N,N,N,N,EF-008,EF-019,0,0,0,Yes,Yes
TA-00038,SP-0029,9.52,1.24,76.0,4,19.05,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00039,SP-0028,6.35,0.89,22.0,1,19.05,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00040,SP-0029,9.52,0.71,22.0,1,31.75,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00041,SP-0035,15.88,1.24,60.0,5,50.8,N,Y,N,N,EF-003,EF-018,0,0,0,No,Yes
TA-00042,SP-0035,15.88,1.24,109.0,4,50.8,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00043,SP-0029,25.4,2.41,68.0,1,63.5,N,N,N,N,NONE,EF-003,0,0,0,No,No
TA-00044,SP-0029,12.7,1.65,36.0,3,38.1,N,N,N,N,NONE,NONE,0,0,0,No,No
TA-00045,SP-0035,7.94,0.89,8.0,2,25.4,N,N,N,N,EF-003,NONE,0,0,0,No,No
TA-00046,SP-0028,50.8,1.65,118.0,4,101.6,Y,Y,N,N,EF-023,NONE,1,0,0,No,No
TA-00047,SP-0035,12.7,1.24,130.0,6,38.1,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00048,SP-0028,25.4,1.65,70.0,2,50.8,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00049,SP-0028,25.4,1.65,36.0,3,50.8,N,Y,N,N,EF-018,EF-009,0,0,0,Yes,Yes
TA-00050,SP-0035,9.52,0.89,45.0,2,31.75,N,N,N,N,EF-018,EF-018,0,0,0,Yes,Yes
TA-00051,SP-0029,76.2,1.65,67.0,1,152.4,N,N,Y,Y,NONE,EF-017,0,0,0,No,Yes
TA-00052,SP-0029,25.4,1.65,96.0,1,63.5,N,N,N,N,EF-003,EF-003,2,0,0,No,No
TA-00053,SP-0029,9.52,0.71,24.0,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00054,SP-0029,9.52,1.24,92.0,8,31.75,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00055,SP-0029,15.88,1.65,127.0,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00056,SP-0029,15.88,1.65,128.0,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00057,SP-0029,25.4,2.41,71.0,3,63.5,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00058,SP-0019,6.35,0.71,50.0,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00059,SP-0029,114.3,2.41,68.0,0,0.0,Y,Y,Y,Y,EF-017,EF-003,1,0,0,Yes,No
TA-00060,SP-0039,6.35,0.71,120.0,3,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00061,SP-0039,6.35,0.71,107.0,3,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00062,SP-0035,9.52,0.89,53.0,5,31.75,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00063,SP-0035,9.52,0.89,12.0,1,31.75,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00064,SP-0029,25.4,1.65,89.0,5,50.8,N,N,N,N,NONE,NONE,0,0,0,No,No
TA-00065,SP-0029,25.4,3.05,193.0,0,0.0,N,N,N,N,NONE,EF-003,0,0,0,No,No
TA-00066,SP-0028,12.7,0.89,3.0,0,0.0,N,N,N,N,EF-003,EF-003,0,0,0,No,No
TA-00067,SP-0028,25.4,1.65,13.0,1,38.1,N,N,N,Y,EF-009,EF-003,0,0,0,Yes,No
TA-00068,SP-0028,25.4,1.65,52.0,3,50.8,Y,Y,N,N,EF-003,EF-009,0,0,0,No,Yes
TA-00069,SP-0041,6.35,2.26,98.0,10,19.05,N,N,N,N,EF-015,EF-015,0,0,0,No,No
TA-00070,SP-0028,57.15,1.65,118.0,4,127.0,N,Y,N,N,EF-009,EF-009,0,0,0,Yes,Yes
TA-00071,SP-0028,9.52,0.89,62.0,3,127.0,N,N,N,N,NONE,NONE,0,0,0,No,No
TA-00072,SP-0029,12.7,0.89,76.0,7,38.1,N,N,N,N,EF-003,EF-003,1,0,0,No,No
TA-00073,SP-0028,12.7,0.89,61.0,2,127.0,N,N,N,N,EF-003,EF-003,0,1,0,No,No
TA-00074,SP-0028,31.75,1.65,27.0,2,76.2,N,Y,N,N,EF-003,NONE,0,0,0,No,No
TA-00075,SP-0039,6.35,0.71,135.0,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00076,SP-0039,6.35,0.71,218.0,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00077,SP-0046,21.7,2.8,92.0,4,55.0,N,N,N,N,EF-021,EF-021,0,0,0,No,No
TA-00078,SP-0039,6.35,0.71,133.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
TA-00079,SP-0039,6.35,0.71,129.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0,Yes,Yes
