tube_assembly_id,supplier,annual_usage,min_order_quantity,bracket_pricing,quantity,cost,year,month
TA-00002,S-0066,0,0,Yes,1,21.9059330191,2013,7
TA-00002,S-0066,0,0,Yes,2,12.3412139793,2013,7
TA-00002,S-0066,0,0,Yes,5,6.60182614357,2013,7
TA-00002,S-0066,0,0,Yes,10,4.68776951197,2013,7
TA-00002,S-0066,0,0,Yes,25,3.54156118026,2013,7
TA-00002,S-0066,0,0,Yes,50,3.2244064477,2013,7
TA-00002,S-0066,0,0,Yes,100,3.08252143577,2013,7
TA-00002,S-0066,0,0,Yes,250,2.99905966404,2013,7
TA-00004,S-0066,0,0,Yes,1,21.9727024365,2013,7
TA-00004,S-0066,0,0,Yes,2,12.4079833967,2013,7
TA-00004,S-0066,0,0,Yes,5,6.66859556095,2013,7
TA-00004,S-0066,0,0,Yes,10,4.75453892935,2013,7
TA-00004,S-0066,0,0,Yes,25,3.60833059764,2013,7
TA-00004,S-0066,0,0,Yes,50,3.29117586508,2013,7
TA-00004,S-0066,0,0,Yes,100,3.14929085315,2013,7
TA-00004,S-0066,0,0,Yes,250,3.06582908142,2013,7
TA-00005,S-0066,0,0,Yes,1,28.3742203279,2013,9
TA-00005,S-0066,0,0,Yes,2,16.5143025656,2013,9
TA-00005,S-0066,0,0,Yes,5,9.3977954964,2013,9
TA-00005,S-0066,0,0,Yes,10,7.02748117937,2013,9
TA-00005,S-0066,0,0,Yes,25,5.60306694191,2013,9
TA-00005,S-0066,0,0,Yes,50,5.19410426045,2013,9
TA-00005,S-0066,0,0,Yes,100,5.00770630359,2013,9
TA-00005,S-0066,0,0,Yes,250,4.89642394129,2013,9
TA-00012,S-0066,0,0,Yes,1,22.4150498267,2013,8
TA-00012,S-0066,0,0,Yes,2,12.8503307868,2013,8
TA-00012,S-0066,0,0,Yes,5,7.11372501015,2013,8
TA-00012,S-0066,0,0,Yes,10,5.19966837856,2013,8
TA-00012,S-0066,0,0,Yes,25,4.05067798779,2013,8
TA-00012,S-0066,0,0,Yes,50,3.73630531429,2013,8
TA-00012,S-0066,0,0,Yes,100,3.59442030235,2013,8
TA-00012,S-0066,0,0,Yes,250,3.51095853063,2013,8
TA-00013,S-0026,50,1,No,1,10.0042843709,1992,7
TA-00014,S-0066,0,0,Yes,1,21.994958909,2013,3
TA-00014,S-0066,0,0,Yes,2,12.4302398691,2013,3
TA-00014,S-0066,0,0,Yes,5,6.69085203341,2013,3
TA-00014,S-0066,0,0,Yes,10,4.77957746087,2013,3
TA-00014,S-0066,0,0,Yes,25,3.6305870701,2013,3
TA-00014,S-0066,0,0,Yes,50,3.3162143966,2013,3
TA-00014,S-0066,0,0,Yes,100,3.17432938466,2013,3
TA-00014,S-0066,0,0,Yes,250,3.08808555388,2013,3
TA-00021,S-0030,1,1,No,1,3.43306087702,2014,2
TA-00022,S-0013,1,1,No,1,8.56317777914,2011,7
TA-00024,S-0066,0,0,Yes,1,20.9349944081,2013,8
TA-00024,S-0066,0,0,Yes,2,11.3702753682,2013,8
TA-00024,S-0066,0,0,Yes,5,5.63366959154,2013,8
TA-00024,S-0066,0,0,Yes,10,3.71961295994,2013,8
TA-00024,S-0066,0,0,Yes,25,2.57340462823,2013,8
TA-00024,S-0066,0,0,Yes,50,2.25624989567,2013,8
TA-00024,S-0066,0,0,Yes,100,2.11436488374,2013,8
TA-00024,S-0066,0,0,Yes,250,2.03090311201,2013,8
TA-00025,S-0066,0,0,Yes,1,20.7819811599,2013,8
TA-00025,S-0066,0,0,Yes,2,11.21726212,2013,8
TA-00025,S-0066,0,0,Yes,5,5.47787428432,2013,8
TA-00025,S-0066,0,0,Yes,10,3.56659971178,2013,8
TA-00025,S-0066,0,0,Yes,25,2.41760932101,2013,8
TA-00025,S-0066,0,0,Yes,50,2.10323664751,2013,8
TA-00025,S-0066,0,0,Yes,100,1.96135163557,2013,8
TA-00025,S-0066,0,0,Yes,250,1.87788986385,2013,8
TA-00027,S-0062,30,1,No,1,2.73754611263,1993,9
TA-00028,S-0062,3,0,Yes,5,16.7090466996,2011,6
TA-00028,S-0062,3,0,Yes,10,10.151733501,2011,6
TA-00031,S-0014,2,0,Yes,2,25.0190571045,2002,7
TA-00031,S-0014,2,0,Yes,4,14.5863356387,2002,7
TA-00031,S-0014,2,0,Yes,6,11.1087618168,2002,7
TA-00031,S-0014,2,0,Yes,8,9.36997490583,2002,7
TA-00031,S-0014,2,0,Yes,10,8.32670275925,2002,7
TA-00031,S-0014,2,0,Yes,12,7.63118799486,2002,7
TA-00034,S-0062,50,0,Yes,1,94.025249968,2014,8
TA-00034,S-0062,280,1,Yes,1,4.82965452391,1993,2
TA-00034,S-0062,50,0,Yes,6,22.6626530828,2014,8
TA-00034,S-0062,50,0,Yes,10,16.9538678967,2014,8
TA-00034,S-0062,50,0,Yes,20,11.6763018645,2014,8
TA-00034,S-0062,50,0,Yes,50,8.96935840154,2014,8
TA-00037,S-0062,600,1,No,1,1.56351719034,1994,9
TA-00046,S-0026,15,1,No,1,228.148317132,2010,11
TA-00047,S-0072,10,1,No,1,7.83427830606,2006,4
TA-00048,S-0026,180,20,No,1,2.94063642383,2009,9
TA-00052,S-0066,0,0,Yes,1,29.5593774865,2013,10
TA-00052,S-0066,0,0,Yes,2,17.6994597241,2013,10
TA-00052,S-0066,0,0,Yes,5,10.5829526549,2013,10
TA-00052,S-0066,0,0,Yes,10,8.20985627883,2013,10
TA-00052,S-0066,0,0,Yes,25,6.78822410042,2013,10
TA-00052,S-0066,0,0,Yes,50,6.37926141896,2013,10
TA-00052,S-0066,0,0,Yes,100,6.19286346211,2013,10
TA-00052,S-0066,0,0,Yes,250,6.0815810998,2013,10
TA-00054,S-0064,5,0,Yes,2,38.7874673804,2005,6
TA-00054,S-0064,5,0,Yes,3,27.9596935284,2005,6
TA-00054,S-0064,5,0,Yes,4,22.5931016064,2005,6
TA-00054,S-0064,5,0,Yes,6,16.5755078649,2005,6
TA-00056,S-0066,0,0,Yes,1,28.6468621156,2013,9
TA-00056,S-0066,0,0,Yes,2,16.7869443533,2013,9
TA-00056,S-0066,0,0,Yes,5,9.67043728404,2013,9
TA-00056,S-0066,0,0,Yes,10,7.30012296701,2013,9
TA-00056,S-0066,0,0,Yes,25,5.87570872954,2013,9
TA-00056,S-0066,0,0,Yes,50,5.46952810714,2013,9
TA-00056,S-0066,0,0,Yes,100,5.28034809123,2013,9
TA-00056,S-0066,0,0,Yes,250,5.16906572893,2013,9
TA-00058,S-0072,2,0,Yes,2,11.9155589435,2014,7
TA-00058,S-0072,2,0,Yes,4,8.64663955086,2014,7
TA-00058,S-0072,2,0,Yes,6,7.22778943151,2014,7
TA-00058,S-0072,2,0,Yes,8,6.45159495446,2014,7
TA-00061,S-0066,0,0,Yes,1,21.3217006171,2013,6
TA-00061,S-0066,0,0,Yes,2,11.7569815772,2013,6
TA-00061,S-0066,0,0,Yes,5,6.02037580054,2013,6
TA-00061,S-0066,0,0,Yes,10,4.10631916894,2013,6
TA-00061,S-0066,0,0,Yes,25,2.95732877818,2013,6
TA-00061,S-0066,0,0,Yes,50,2.64295610467,2013,6
TA-00061,S-0066,0,0,Yes,100,2.50107109274,2013,6
TA-00061,S-0066,0,0,Yes,250,2.41760932101,2013,6
TA-00062,S-0041,200,60,No,60,2.37587843515,2014,6
TA-00063,S-0041,200,40,No,40,1.54960689506,2014,6
TA-00064,S-0041,300,60,No,60,2.18391636018,2014,6
TA-00066,S-0062,8821,1,No,1,1.26305481213,1999,4
TA-00068,S-0026,701,1,Yes,1,4.78792363804,2002,8
TA-00073,S-0026,115,1,No,1,10.7470941393,2000,7
TA-00076,S-0066,0,0,Yes,1,22.5068577756,2013,8
TA-00076,S-0066,0,0,Yes,2,12.9421387357,2013,8
TA-00076,S-0066,0,0,Yes,5,7.2027509,2013,8
TA-00076,S-0066,0,0,Yes,10,5.29147632746,2013,8
TA-00076,S-0066,0,0,Yes,25,4.14248593669,2013,8
TA-00076,S-0066,0,0,Yes,50,3.82533120413,2013,8
TA-00076,S-0066,0,0,Yes,100,3.68622825125,2013,8
TA-00076,S-0066,0,0,Yes,250,3.59998442047,2013,8
TA-00077,S-0066,5,0,Yes,3,35.3043294403,2012,4
TA-00077,S-0066,5,0,Yes,6,23.157859595,2012,4
TA-00077,S-0066,5,0,Yes,9,18.7928089337,2012,4
TA-00077,S-0066,5,0,Yes,12,16.2472248961,2012,4
TA-00078,S-0066,0,0,Yes,1,21.6054706409,2013,6
TA-00078,S-0066,0,0,Yes,2,12.0407516011,2013,6
TA-00078,S-0066,0,0,Yes,5,6.30136376535,2013,6
TA-00078,S-0066,0,0,Yes,10,4.38730713376,2013,6
TA-00078,S-0066,0,0,Yes,25,3.24109880205,2013,6
TA-00078,S-0066,0,0,Yes,50,2.92394406948,2013,6
TA-00078,S-0066,0,0,Yes,100,2.78205905755,2013,6
TA-00078,S-0066,0,0,Yes,250,2.69859728582,2013,6
TA-00080,S-0066,0,0,Yes,1,21.5387012235,2013,8
TA-00080,S-0066,0,0,Yes,2,11.9739821837,2013,8
TA-00080,S-0066,0,0,Yes,5,6.23459434797,2013,8
TA-00080,S-0066,0,0,Yes,10,4.32053771637,2013,8
TA-00080,S-0066,0,0,Yes,25,3.17432938466,2013,8
TA-00080,S-0066,0,0,Yes,50,2.8571746521,2013,8
TA-00080,S-0066,0,0,Yes,100,2.71807169923,2013,8
TA-00080,S-0066,0,0,Yes,250,2.63182786844,2013,8
TA-00082,S-0066,0,0,Yes,1,21.4914062196,2013,8
TA-00082,S-0066,0,0,Yes,2,11.9266871797,2013,8
TA-00082,S-0066,0,0,Yes,5,6.18729934399,2013,8
TA-00082,S-0066,0,0,Yes,10,4.2732427124,2013,8
TA-00082,S-0066,0,0,Yes,25,3.12703438069,2013,8
TA-00082,S-0066,0,0,Yes,50,2.80987964813,2013,8
TA-00082,S-0066,0,0,Yes,100,2.66799463619,2013,8
TA-00082,S-0066,0,0,Yes,250,2.58453286446,2013,8
TA-00083,S-0066,0,0,Yes,1,21.4914062196,2013,6
TA-00083,S-0066,0,0,Yes,2,11.9266871797,2013,6
TA-00083,S-0066,0,0,Yes,5,6.18729934399,2013,6
TA-00083,S-0066,0,0,Yes,10,4.2732427124,2013,6
TA-00083,S-0066,0,0,Yes,25,3.12703438069,2013,6
TA-00083,S-0066,0,0,Yes,50,2.80987964813,2013,6
TA-00083,S-0066,0,0,Yes,100,2.66799463619,2013,6
TA-00083,S-0066,0,0,Yes,250,2.58453286446,2013,6
TA-00084,S-0066,0,0,Yes,1,21.5971244638,2013,8
TA-00084,S-0066,0,0,Yes,2,12.0324054239,2013,8
TA-00084,S-0066,0,0,Yes,5,6.29301758818,2013,8
TA-00084,S-0066,0,0,Yes,10,4.37896095658,2013,8
TA-00084,S-0066,0,0,Yes,25,3.23275262487,2013,8
TA-00084,S-0066,0,0,Yes,50,2.91559789231,2013,8
TA-00084,S-0066,0,0,Yes,100,2.77371288038,2013,8
TA-00084,S-0066,0,0,Yes,250,2.69025110865,2013,8
TA-00085,S-0066,0,0,Yes,1,21.5637397551,2013,6
TA-00085,S-0066,0,0,Yes,2,11.9990207152,2013,6
TA-00085,S-0066,0,0,Yes,5,6.25963287949,2013,6
TA-00085,S-0066,0,0,Yes,10,4.34557624789,2013,6
TA-00085,S-0066,0,0,Yes,25,3.19936791618,2013,6
TA-00085,S-0066,0,0,Yes,50,2.88221318362,2013,6
TA-00085,S-0066,0,0,Yes,100,2.74311023074,2013,6
TA-00085,S-0066,0,0,Yes,250,2.65686639996,2013,6
TA-00086,S-0066,0,0,Yes,1,21.1909438414,2013,8
TA-00086,S-0066,0,0,Yes,2,11.6262248015,2013,8
TA-00086,S-0066,0,0,Yes,5,5.88683696578,2013,8
TA-00086,S-0066,0,0,Yes,10,3.97556239324,2013,8
TA-00086,S-0066,0,0,Yes,25,2.82657200247,2013,8
TA-00086,S-0066,0,0,Yes,50,2.51219932897,2013,8
TA-00086,S-0066,0,0,Yes,100,2.37031431703,2013,8
TA-00086,S-0066,0,0,Yes,250,2.28685254531,2013,8
TA-00087,S-0066,0,0,Yes,1,21.2159823729,2013,6
TA-00087,S-0066,0,0,Yes,2,11.651263333,2013,6
TA-00087,S-0066,0,0,Yes,5,5.91187549729,2013,6
TA-00087,S-0066,0,0,Yes,10,4.00060092476,2013,6
TA-00087,S-0066,0,0,Yes,25,2.85161053399,2013,6
TA-00087,S-0066,0,0,Yes,50,2.53723786049,2013,6
TA-00087,S-0066,0,0,Yes,100,2.39535284855,2013,6
TA-00087,S-0066,0,0,Yes,250,2.30910901777,2013,6
TA-00088,S-0013,8,8,No,8,7.56163651842,2011,5
TA-00091,S-0066,0,0,Yes,1,21.5387012235,2013,6
TA-00091,S-0066,0,0,Yes,2,11.9739821837,2013,6
TA-00091,S-0066,0,0,Yes,5,6.23459434797,2013,6
TA-00091,S-0066,0,0,Yes,10,4.32053771637,2013,6
TA-00091,S-0066,0,0,Yes,25,3.17432938466,2013,6
TA-00091,S-0066,0,0,Yes,50,2.8571746521,2013,6
