,tube_assembly_id,material_id,diameter,wall,length,num_bends,bend_radius,end_a_1x,end_a_2x,end_x_1x,end_x_2x,end_a,end_x,num_boss,num_bracket,other
0,TA-00001,SP-0035,12.7,1.65,164.0,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0
1,TA-00002,SP-0019,6.35,0.71,137.0,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0
2,TA-00003,SP-0019,6.35,0.71,127.0,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0
3,TA-00004,SP-0019,6.35,0.71,137.0,9,19.05,N,N,N,N,EF-008,EF-008,0,0,0
4,TA-00005,SP-0029,19.05,1.24,109.0,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0
5,TA-00006,SP-0029,19.05,1.24,79.0,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0
6,TA-00007,SP-0035,12.7,1.65,202.0,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0
7,TA-00008,SP-0039,6.35,0.71,174.0,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0
8,TA-00009,SP-0029,25.4,1.65,135.0,4,63.5,N,N,N,N,EF-003,EF-003,0,0,0
9,TA-00010,SP-0046,42.7,4.8,290.0,4,110.0,N,N,N,N,EF-021,EF-021,0,0,0
10,TA-00011,SP-0039,6.35,0.71,197.0,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0
11,TA-00012,SP-0039,6.35,0.71,207.0,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0
12,TA-00013,SP-0028,38.1,1.65,106.0,3,76.2,N,N,N,N,NONE,NONE,1,0,0
13,TA-00014,SP-0029,12.7,0.89,96.0,4,38.1,N,N,N,N,EF-003,EF-003,0,0,0
14,TA-00015,SP-0035,12.7,0.89,147.0,6,25.4,N,N,N,N,EF-018,EF-018,0,0,0
15,TA-00016,SP-0029,25.4,1.65,99.0,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0
16,TA-00017,SP-0029,25.4,1.65,92.0,3,50.8,N,Y,N,N,EF-003,EF-003,0,0,0
17,TA-00018,SP-0028,25.4,1.65,81.0,3,63.5,N,N,N,N,EF-003,EF-009,0,0,0
18,TA-00019,SP-0028,50.8,2.11,84.0,2,127.0,N,Y,N,N,EF-005,EF-017,0,0,0
19,TA-00020,SP-0041,6.35,2.375,81.0,9,19.05,N,N,N,N,NONE,NONE,0,0,0
20,TA-00021,SP-0041,6.35,2.375,81.0,6,19.05,N,N,N,N,NONE,NONE,0,0,0
21,TA-00022,SP-0039,12.7,0.89,101.0,6,25.4,N,N,N,N,EF-008,EF-008,0,0,0
22,TA-00023,SP-0039,9.52,0.71,52.0,3,19.05,N,N,N,N,EF-008,EF-008,0,0,0
23,TA-00024,SP-0039,9.52,0.71,99.0,2,31.75,N,N,N,N,EF-008,EF-008,0,0,0
24,TA-00025,SP-0039,9.52,0.71,65.0,3,31.75,N,N,N,N,EF-008,EF-008,0,0,0
25,TA-00026,SP-0028,25.4,1.65,48.0,2,50.8,N,N,Y,Y,EF-009,EF-003,0,0,0
26,TA-00027,SP-0035,6.35,0.89,105.0,5,19.05,N,N,N,N,EF-018,EF-018,0,0,0
27,TA-00028,SP-0028,12.7,1.65,104.0,3,127.0,N,N,N,N,EF-003,NONE,1,0,0
28,TA-00029,SP-0035,15.88,1.24,94.0,2,50.8,N,N,N,N,EF-018,EF-017,0,0,0
29,TA-00030,SP-0028,9.52,0.89,85.0,4,19.05,N,N,N,N,EF-003,EF-003,0,0,0
30,TA-00031,SP-0028,9.52,0.89,52.0,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0
31,TA-00032,SP-0028,12.7,0.89,55.0,2,76.2,N,N,N,N,NONE,NONE,0,0,0
32,TA-00033,SP-0039,9.52,0.71,89.0,4,31.75,N,N,N,N,EF-008,EF-008,0,0,0
33,TA-00034,SP-0028,25.4,1.65,55.0,2,50.8,N,N,N,N,EF-003,EF-009,0,0,0
34,TA-00035,SP-0035,15.88,1.24,101.0,7,38.1,N,N,N,N,EF-018,EF-003,0,0,0
35,TA-00036,SP-0029,9.52,0.89,74.0,5,31.75,N,N,N,N,EF-003,EF-003,0,0,0
36,TA-00037,SP-0029,9.52,0.71,29.0,4,19.05,N,N,N,N,EF-008,EF-019,0,0,0
37,TA-00038,SP-0029,9.52,1.24,76.0,4,19.05,N,N,N,N,EF-003,EF-003,0,0,0
38,TA-00039,SP-0028,6.35,0.89,22.0,1,19.05,N,N,N,N,EF-003,EF-003,0,0,0
39,TA-00040,SP-0029,9.52,0.71,22.0,1,31.75,N,N,N,N,EF-003,EF-003,0,0,0
40,TA-00041,SP-0035,15.88,1.24,60.0,5,50.8,N,Y,N,N,EF-003,EF-018,0,0,0
41,TA-00042,SP-0035,15.88,1.24,109.0,4,50.8,N,N,N,N,EF-018,EF-018,0,0,0
42,TA-00043,SP-0029,25.4,2.41,68.0,1,63.5,N,N,N,N,NONE,EF-003,0,0,0
43,TA-00044,SP-0029,12.7,1.65,36.0,3,38.1,N,N,N,N,NONE,NONE,0,0,0
44,TA-00045,SP-0035,7.94,0.89,8.0,2,25.4,N,N,N,N,EF-003,NONE,0,0,0
45,TA-00046,SP-0028,50.8,1.65,118.0,4,101.6,Y,Y,N,N,EF-023,NONE,1,0,0
46,TA-00047,SP-0035,12.7,1.24,130.0,6,38.1,N,N,N,N,EF-018,EF-018,0,0,0
47,TA-00048,SP-0028,25.4,1.65,70.0,2,50.8,N,N,N,N,EF-018,EF-018,0,0,0
48,TA-00049,SP-0028,25.4,1.65,36.0,3,50.8,N,Y,N,N,EF-018,EF-009,0,0,0
49,TA-00050,SP-0035,9.52,0.89,45.0,2,31.75,N,N,N,N,EF-018,EF-018,0,0,0
50,TA-00051,SP-0029,76.2,1.65,67.0,1,152.4,N,N,Y,Y,NONE,EF-017,0,0,0
51,TA-00052,SP-0029,25.4,1.65,96.0,1,63.5,N,N,N,N,EF-003,EF-003,2,0,0
52,TA-00053,SP-0029,9.52,0.71,24.0,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0
53,TA-00054,SP-0029,9.52,1.24,92.0,8,31.75,N,N,N,N,EF-003,EF-003,0,0,0
54,TA-00055,SP-0029,15.88,1.65,127.0,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0
55,TA-00056,SP-0029,15.88,1.65,128.0,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0
56,TA-00057,SP-0029,25.4,2.41,71.0,3,63.5,N,N,N,N,EF-003,EF-003,0,0,0
57,TA-00058,SP-0019,6.35,0.71,50.0,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0
58,TA-00059,SP-0029,114.3,2.41,68.0,0,0.0,Y,Y,Y,Y,EF-017,EF-003,1,0,0
59,TA-00060,SP-0039,6.35,0.71,120.0,3,19.05,N,N,N,N,EF-008,EF-008,0,0,0
60,TA-00061,SP-0039,6.35,0.71,107.0,3,19.05,N,N,N,N,EF-008,EF-008,0,0,0
61,TA-00062,SP-0035,9.52,0.89,53.0,5,31.75,N,N,N,N,EF-003,EF-003,0,0,0
62,TA-00063,SP-0035,9.52,0.89,12.0,1,31.75,N,N,N,N,EF-003,EF-003,0,0,0
63,TA-00064,SP-0029,25.4,1.65,89.0,5,50.8,N,N,N,N,NONE,NONE,0,0,0
64,TA-00065,SP-0029,25.4,3.05,193.0,0,0.0,N,N,N,N,NONE,EF-003,0,0,0
65,TA-00066,SP-0028,12.7,0.89,3.0,0,0.0,N,N,N,N,EF-003,EF-003,0,0,0
66,TA-00067,SP-0028,25.4,1.65,13.0,1,38.1,N,N,N,Y,EF-009,EF-003,0,0,0
67,TA-00068,SP-0028,25.4,1.65,52.0,3,50.8,Y,Y,N,N,EF-003,EF-009,0,0,0
68,TA-00069,SP-0041,6.35,2.26,98.0,10,19.05,N,N,N,N,EF-015,EF-015,0,0,0
69,TA-00070,SP-0028,57.15,1.65,118.0,4,127.0,N,Y,N,N,EF-009,EF-009,0,0,0
70,TA-00071,SP-0028,9.52,0.89,62.0,3,127.0,N,N,N,N,NONE,NONE,0,0,0
71,TA-00072,SP-0029,12.7,0.89,76.0,7,38.1,N,N,N,N,EF-003,EF-003,1,0,0
72,TA-00073,SP-0028,12.7,0.89,61.0,2,127.0,N,N,N,N,EF-003,EF-003,0,1,0
73,TA-00074,SP-0028,31.75,1.65,27.0,2,76.2,N,Y,N,N,EF-003,NONE,0,0,0
74,TA-00075,SP-0039,6.35,0.71,135.0,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0
75,TA-00076,SP-0039,6.35,0.71,218.0,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0
76,TA-00077,SP-0046,21.7,2.8,92.0,4,55.0,N,N,N,N,EF-021,EF-021,0,0,0
77,TA-00078,SP-0039,6.35,0.71,133.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
78,TA-00079,SP-0039,6.35,0.71,129.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
79,TA-00080,SP-0039,6.35,0.71,125.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
80,TA-00081,SP-0039,6.35,0.71,121.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
81,TA-00082,SP-0039,6.35,0.71,103.0,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0
82,TA-00083,SP-0039,6.35,0.71,103.0,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0
83,TA-00084,SP-0039,6.35,0.71,132.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
84,TA-00085,SP-0039,6.35,0.71,128.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
85,TA-00086,SP-0039,6.35,0.71,83.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
86,TA-00087,SP-0039,6.35,0.71,86.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
87,TA-00088,SP-0046,21.7,2.8,131.0,6,55.0,N,N,N,N,EF-021,EF-021,0,0,0
88,TA-00089,SP-0039,6.35,0.71,94.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
89,TA-00090,SP-0039,6.35,0.71,122.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
90,TA-00091,SP-0039,6.35,0.71,125.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
91,TA-00092,SP-0039,6.35,0.71,129.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
92,TA-00093,SP-0039,6.35,0.71,132.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
93,TA-00094,SP-0039,6.35,0.71,122.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
94,TA-00095,SP-0039,6.35,0.71,106.0,2,19.05,N,N,N,N,EF-008,EF-008,0,0,0
95,TA-00096,SP-0039,6.35,0.71,106.0,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
96,TA-00097,SP-0029,9.52,1.65,96.0,5,19.05,N,N,N,N,EF-003,EF-003,0,0,0
97,TA-00098,SP-0028,25.4,1.65,124.0,9,50.8,N,Y,N,N,EF-003,EF-003,0,0,0
98,TA-00099,SP-0029,22.22,3.05,182.0,5,50.8,N,N,N,N,NONE,NONE,1,0,0
99,TA-00100,SP-0029,9.52,0.89,41.0,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0
100,TA-00101,SP-0028,6.35,0.89,94.0,2,76.2,N,N,N,N,EF-003,EF-003,0,0,0
101,TA-00102,SP-0035,6.35,0.89,40.0,2,19.05,N,N,N,N,EF-018,EF-018,0,0,0
102,TA-00103,SP-0029,152.4,1.65,35.0,0,0.0,N,N,N,N,EF-003,NONE,0,0,0
103,TA-00104,SP-0028,12.7,0.89,68.0,2,25.4,N,N,N,Y,EF-003,EF-003,0,0,0
104,TA-00105,SP-0029,41.28,1.65,83.0,2,101.6,N,N,N,N,EF-012,EF-012,0,0,0
105,TA-00106,SP-0029,63.5,1.65,38.0,1,101.6,N,N,Y,Y,EF-017,EF-017,0,0,0
106,TA-00107,SP-0035,15.88,1.65,138.0,7,38.1,N,N,N,N,EF-018,EF-003,0,0,0
107,TA-00108,SP-0029,25.4,3.05,31.0,2,63.5,N,Y,N,N,EF-003,EF-023,0,0,0
108,TA-00109,SP-0029,25.4,3.05,67.0,2,63.5,N,N,N,N,EF-003,EF-023,0,0,0
109,TA-00110,SP-0028,25.4,1.65,31.0,2,50.8,N,N,N,Y,EF-009,EF-003,0,0,0
110,TA-00111,SP-0029,25.4,2.41,58.0,2,63.5,N,N,N,N,EF-012,EF-012,0,0,0
111,TA-00112,SP-0028,6.35,0.89,66.0,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0
112,TA-00113,SP-0029,6.35,0.71,44.0,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0
113,TA-00114,SP-0035,6.35,0.89,138.0,4,19.05,N,N,N,N,EF-018,EF-018,0,0,0
114,TA-00115,SP-0035,6.35,0.89,50.0,4,19.05,N,N,N,N,EF-018,EF-018,0,0,0
115,TA-00116,SP-0035,6.35,0.89,20.0,2,19.05,N,N,N,N,EF-018,EF-018,0,0,0
116,TA-00117,SP-0035,15.88,1.24,31.0,2,38.1,N,N,N,N,EF-018,EF-018,0,0,0
117,TA-00118,SP-0029,12.7,0.89,116.0,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0
118,TA-00119,SP-0029,9.52,0.89,68.0,3,31.75,N,N,N,N,EF-003,EF-003,0,0,0
119,TA-00120,SP-0029,9.52,0.89,43.0,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0
120,TA-00121,SP-0029,9.52,0.89,43.0,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0
121,TA-00122,SP-0029,9.52,0.89,44.0,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0
122,TA-00123,SP-0029,19.05,1.24,159.0,3,38.1,N,N,N,N,EF-003,EF-003,0,0,0
123,TA-00124,SP-0019,6.35,0.71,29.0,2,19.05,N,N,N,N,NONE,EF-008,0,0,0
124,TA-00125,SP-0029,25.4,2.41,44.0,2,63.5,N,N,N,N,EF-003,EF-003,0,0,0
125,TA-00126,SP-0029,19.05,2.11,70.0,3,50.8,N,N,N,N,EF-003,EF-003,0,0,0
126,TA-00127,SP-0029,9.52,0.89,19.0,1,31.75,N,N,N,N,EF-003,EF-003,0,0,0
127,TA-00128,SP-0029,9.52,0.89,128.0,10,31.75,N,N,N,N,EF-003,EF-003,0,0,0
128,TA-00129,SP-0028,6.35,0.89,94.0,2,38.0,Y,Y,Y,Y,EF-003,EF-003,0,0,0
129,TA-00130,SP-0028,6.35,0.89,149.0,4,38.1,N,N,N,N,EF-003,EF-003,0,0,0
130,TA-00131,SP-0029,25.4,2.41,63.0,2,63.5,N,Y,N,N,EF-003,EF-003,0,0,0
131,TA-00132,SP-0029,19.05,2.11,72.0,2,38.1,N,N,N,N,EF-003,EF-003,0,0,0
132,TA-00133,SP-0029,19.05,2.11,99.0,3,50.8,N,Y,N,N,EF-003,EF-003,0,0,0
133,TA-00134,SP-0029,19.05,2.11,99.0,3,50.8,N,Y,N,N,EF-003,EF-003,0,0,0
134,TA-00135,SP-0028,9.52,0.89,75.0,1,127.0,N,N,N,N,NONE,NONE,0,1,0
135,TA-00136,SP-0029,9.52,0.89,31.0,2,19.05,N,N,N,N,EF-003,EF-003,0,0,0
136,TA-00137,SP-0028,31.75,1.65,23.0,2,38.1,N,Y,N,Y,EF-009,EF-009,0,0,0
137,TA-00138,SP-0028,25.4,1.65,39.0,2,50.8,N,N,N,Y,EF-009,EF-003,0,0,0
138,TA-00139,SP-0028,57.15,1.65,222.0,5,114.3,N,N,N,N,EF-009,EF-009,0,0,0
139,TA-00140,SP-0028,57.15,1.65,89.0,2,101.6,N,N,N,Y,NONE,NONE,0,0,0
